Country Name,Country Code,Series Name,Series Code,2016 [YR2016]
Germany,DEU,GDP per capita (current US$),NY.GDP.PCAP.CD,42961.0356905775
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,57976.628204291
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 10/07/2025,,,,
